"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"mmServiceAlarmGroup",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup",".1.3.6.1.4.1.11150.103.10.0",,,"","MMSERVICE-V2-MIB",
"mmServiceTrapVlrProfileUpdateFailures",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapVlrProfileUpdateFailures",".1.3.6.1.4.1.11150.103.10.0.1",,,"","MMSERVICE-V2-MIB","Indicates that the percentage of vlr profile update failures is too high."
"mmServiceTrapVlrProfileUpdatesAbnormal",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapVlrProfileUpdatesAbnormal",".1.3.6.1.4.1.11150.103.10.0.2",,,"","MMSERVICE-V2-MIB","Indicates that the number of vlr profile update attempts too high/low compared to previous interval."
"mmServiceTrapVlrULsMonitoredAbnormal",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapVlrULsMonitoredAbnormal",".1.3.6.1.4.1.11150.103.10.0.3",,,"","MMSERVICE-V2-MIB","Indicates that the number of vlr update locations is too high/low compared to previous interval."
"mmServiceTrapSgsnProfileUpdateFailures",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapSgsnProfileUpdateFailures",".1.3.6.1.4.1.11150.103.10.0.5",,,"","MMSERVICE-V2-MIB","Indicates that the percentage of sgsn profile update failures is too high."
"mmServiceTrapSgsnProfileUpdatesAbnormal",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapSgsnProfileUpdatesAbnormal",".1.3.6.1.4.1.11150.103.10.0.6",,,"","MMSERVICE-V2-MIB","Indicates that the number of sgsn profile update attempts is too high/low compared to previous interval."
"mmServiceSgsnULsMonitoredAbnormal",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceSgsnULsMonitoredAbnormal",".1.3.6.1.4.1.11150.103.10.0.7",,,"","MMSERVICE-V2-MIB","Indicates that the number of sgsn update locations is too high/low compared to previous interval."
"mmServiceVLREmlppFailedAbnormal",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceVLREmlppFailedAbnormal",".1.3.6.1.4.1.11150.103.10.0.8",,,"","MMSERVICE-V2-MIB","Indicates that the number of EMLPP failures too high/low compared to previous interval."
"mmServiceTrapInternalIDRRequestFailed",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapInternalIDRRequestFailed",".1.3.6.1.4.1.11150.103.10.0.9",,,"","MMSERVICE-V2-MIB","Indicates that the percentage of IDRs failed due to Internal request is too high/low compared to previous interval."
"mmServiceTrapInternalDSRRequestFailed",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapInternalDSRRequestFailed",".1.3.6.1.4.1.11150.103.10.0.10",,,"","MMSERVICE-V2-MIB","Indicates that the percentage of DSRs failed due to Internal request is too high/low compared to previous interval."
"mmServiceTrapInternalCLRRequestFailed",".iso.org.dod.internet.private.enterprises.roamware.pmms-mob.mmServiceAlarmModule.mmServiceAlarmGroup.mmServiceTrapInternalCLRRequestFailed",".1.3.6.1.4.1.11150.103.10.0.11",,,"","MMSERVICE-V2-MIB","Indicates that the percentage of CLRs failed due to Internal request is too high/low compared to previous interval."
